"Survey","Method","Reef_1","Reef_2","Site","Survey_Day","Dive_No","Transect","OpCode","Family","Genus","Species","Number","Length_mm","Comment","Reader","T_ID","Date","Site_lat","Site_long","Depth_m","Temperature","Situation","Habitat","Aspect_descriptive","Aspect_scale","Benthic_Complexity","Zero_obs","Binomial","Biomass.Constant.A","Biomass.Constant.B","Biomass.Constant.C","Trophic.Level","Trophic.Group","Functional.Group","Weight_G.sp","Biomass_G","Length_cm"
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T1","Bougainville_D1_Feb2021","Pomacentridae","Chromis","amboinensis",3,66.511,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T1","22/02/2021",-15.487239,147.090348,65,27.5,"outer","outer_reef","steep_slope",3,5,FALSE,"Chromis amboinensis",0.01778,2.99,1,2.74,"omnivore","planktivore",5.13314171662852,15.3994251498856,6.6511
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T1","Bougainville_D1_Feb2021","Pomacentridae","Chromis","margaritifer",3,73,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T1","22/02/2021",-15.487239,147.090348,65,27.5,"outer","outer_reef","steep_slope",3,5,FALSE,"Chromis margaritifer",0.01778,2.99,1,2.95,"omnivore","planktivore",6.78058412306123,20.3417523691837,7.3
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T1","Bougainville_D1_Feb2021","Pomacentridae","Chromis","amboinensis",8,79.32,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T1","22/02/2021",-15.487239,147.090348,65,27.5,"outer","outer_reef","steep_slope",3,5,FALSE,"Chromis amboinensis",0.01778,2.99,1,2.74,"omnivore","planktivore",8.69132612298201,69.5306089838561,7.932
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T1","Bougainville_D1_Feb2021","Chaetodontidae","Chaetodon","mertensii",1,86.975,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T1","22/02/2021",-15.487239,147.090348,65,27.5,"outer","outer_reef","steep_slope",3,5,FALSE,"Chaetodon mertensii",0.004261,3.800466,1,2.95,"invertivore-mobile","micro-invertivore",15.8360970347771,15.8360970347771,8.6975
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T1","Bougainville_D1_Feb2021","Pomacentridae","Acanthochromis","polyacanthus",4,102,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T1","22/02/2021",-15.487239,147.090348,65,27.5,"outer","outer_reef","steep_slope",3,5,FALSE,"Acanthochromis polyacanthus",0.0429,3.045,0.667,2.69,"omnivore","planktivore",50.541114584835,202.16445833934,10.2
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T1","Bougainville_D1_Feb2021","Serranidae","Pseudanthias","pleurotaenia",4,102,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T1","22/02/2021",-15.487239,147.090348,65,27.5,"outer","outer_reef","steep_slope",3,5,FALSE,"Pseudanthias pleurotaenia",0.00933,2.97,1,3.4,"planktivore","planktivore",9.23472897046777,36.9389158818711,10.2
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T1","Bougainville_D1_Feb2021","Pomacentridae","Acanthochromis","polyacanthus",2,105.54,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T1","22/02/2021",-15.487239,147.090348,65,27.5,"outer","outer_reef","steep_slope",3,5,FALSE,"Acanthochromis polyacanthus",0.0429,3.045,0.667,2.69,"omnivore","planktivore",56.0741024466349,112.14820489327,10.554
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T1","Bougainville_D1_Feb2021","Pomacanthidae","Pygoplites","diacanthus",1,111.474,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T1","22/02/2021",-15.487239,147.090348,65,27.5,"outer","outer_reef","steep_slope",3,5,FALSE,"Pygoplites diacanthus",0.0302,2.89,1,2.69,"invertivore-sessile","spongivore",32.0877011321772,32.0877011321772,11.1474
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T1","Bougainville_D1_Feb2021","Pomacentridae","Acanthochromis","polyacanthus",5,114,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T1","22/02/2021",-15.487239,147.090348,65,27.5,"outer","outer_reef","steep_slope",3,5,FALSE,"Acanthochromis polyacanthus",0.0429,3.045,0.667,2.69,"omnivore","planktivore",70.9140949459704,354.570474729852,11.4
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T1","Bougainville_D1_Feb2021","Pomacentridae","Acanthochromis","polyacanthus",6,114.54,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T1","22/02/2021",-15.487239,147.090348,65,27.5,"outer","outer_reef","steep_slope",3,5,FALSE,"Acanthochromis polyacanthus",0.0429,3.045,0.667,2.69,"omnivore","planktivore",71.9418996891296,431.651398134778,11.454
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T1","Bougainville_D1_Feb2021","Chaetodontidae","Chaetodon","kleinii",2,126,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T1","22/02/2021",-15.487239,147.090348,65,27.5,"outer","outer_reef","steep_slope",3,5,FALSE,"Chaetodon kleinii",0.0449,3.036,0.827,3.18,"omnivore","corallivore",98.3946116535879,196.789223307176,12.6
