"","Depth_group","Slope_group","Reef_2","Site","Habitat","Aspect_descriptive","Benthic_Complexity","Acanthurus_auranticavus","Acanthurus_blochii","Acanthurus_dussumieri","Acanthurus_fowleri","Acanthurus_grammoptilus","Acanthurus_guttatus","Acanthurus_leucocheilus","Acanthurus_lineatus","Acanthurus_nigricans","Acanthurus_nigricauda","Acanthurus_nigrofuscus","Acanthurus_nigroris","Acanthurus_olivaceus","Acanthurus_pyroferus","Acanthurus_triostegus","Acanthurus_xanthopterus","Bolbometopon_muricatum","Centropyge_bicolor","Centropyge_bispinosa","Centropyge_flavissima","Centropyge_heraldi","Centropyge_loriculus","Centropyge_tibicen","Centropyge_vrolikii","Cetoscarus_ocellatus","Chlorurus_bleekeri","Chlorurus_capistratoides","Chlorurus_microrhinos","Chlorurus_sordidus","Chlorurus_spilurus","Ctenochaetus_binotatus","Ctenochaetus_cyanocheilus","Ctenochaetus_striatus","Hipposcarus_longiceps","Kyphosus_bigibbus","Kyphosus_cinerascens","Kyphosus_vaigiensis","Naso_brachycentron","Naso_lituratus","Naso_tonganus","Naso_unicornis","Scarus_altipinnis","Scarus_chameleon","Scarus_dimidiatus","Scarus_festivus","Scarus_flavipectoralis","Scarus_forsteni","Scarus_frenatus","Scarus_ghobban","Scarus_globiceps","Scarus_longipinnis","Scarus_niger","Scarus_oviceps","Scarus_psittacus","Scarus_rivulatus","Scarus_rubroviolaceus","Scarus_schlegeli","Scarus_spinus","Scarus_tricolor","Siganus_argenteus","Siganus_fuscescens","Siganus_punctatissimus","Siganus_punctatus","Siganus_stellatus","Zebrasoma_scopas","Zebrasoma_velifer"
"1","Upper_mesophotic","Flat","Hermit Crab Islet","HERM-01","lagoon","flat",1,8,7,0,0,4,0,0,0,0,8,0,0,4,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,10,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"2","Upper_mesophotic","Slope","West Herald","HERA-01","passage","gentle_slope",2,1,5,2,0,1,0,0,0,0,0,0,0,1,33,0,0,0,0,0,5,12,0,0,2,0,0,0,0,4,0,0,0,16,0,0,0,0,0,2,0,1,0,0,0,0,0,0,4,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,4,0
"3","Lower_mesophotic","Slope","Bougainville","BOUG-01","outer_reef","steep_slope",4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Lower_mesophotic","Slope","Bougainville","BOUG-01","outer_reef","steep_slope",5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Shallow","Flat","Hermit Crab Islet","HERM-01","lagoon","flat",1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"6","Shallow","Flat","Lorna Cay","LORN-02","lagoon","flat",3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
"7","Shallow","Flat","Middle Cay","MIDD-01","inner_reef","flat",1,0,3,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Shallow","Flat","Middle Cay","MIDD-01","inner_reef","flat",3,0,3,0,0,0,0,21,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"9","Shallow","Flat","Saumarez","SAUM-01","inner_reef","flat",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"10","Shallow","Slope","Bougainville","BOUG-01","outer_reef","steep_slope",3,0,16,5,0,55,2,0,6,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,9,0,3,4,0,26,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,2
