"","Reef_2","Site","Transect","Depth_m","Habitat","Aspect_descriptive","Benthic_Complexity","cropper","browser","detritivore","excavator","scraper"
"1","Bougainville","BOUG-01","T1",65,"outer_slope","steep_slope",5,0.689259888429806,0,0,0,0
"2","Bougainville","BOUG-01","T10",54.7,"outer_slope","steep_slope",5,0,0,0,0,0.974372018303905
"3","Bougainville","BOUG-01","T11",47.4,"outer_slope","wall",5,0,0,0,0,0
"4","Bougainville","BOUG-01","T12",45.5,"outer_slope","steep_slope",5,0.0935228232940356,0,0,0,0.180426725881514
"5","Bougainville","BOUG-01","T13",45,"outer_slope","wall",4,0,0,0,0,0
"6","Bougainville","BOUG-01","T14",43.7,"outer_slope","steep_slope",5,0,0,0,0,0
"7","Bougainville","BOUG-01","T15",38.6,"outer_slope","wall",4,0,0,0,0,0
"8","Bougainville","BOUG-01","T16",36.4,"outer_slope","wall",5,1.75334584301376,0,0,0,0.132041354512413
"9","Bougainville","BOUG-01","T17",35.1,"outer_slope","wall",5,1.90052699559577,0,0.0377814871424865,0,0
"10","Bougainville","BOUG-01","T18",28.5,"outer_slope","wall",4,0.803928907382554,0,0,0,0
"11","Bougainville","BOUG-01","T19",22.3,"outer_slope","wall",3,0.0255171150169553,0,0,0,0
"12","Bougainville","BOUG-01","T2",66.7,"outer_slope","wall",5,0.105781855835909,0,0,0,0.891935904535162
"13","Bougainville","BOUG-01","T3",66.3,"outer_slope","wall",5,0,0,0,0,0
"14","Bougainville","BOUG-01","T4",67.8,"outer_slope","wall",5,0,0,0,0,3.16514681755873
"15","Bougainville","BOUG-01","T5",67.3,"outer_slope","steep_slope",5,0,0,0,0,0
"16","Bougainville","BOUG-01","T6",58.1,"outer_slope","steep_slope",4,0.0510760336308682,0,0,0,3.00853019898864
"17","Bougainville","BOUG-01","T7",57.8,"outer_slope","steep_slope",5,0.185730531798434,0,0,0,0
"18","Bougainville","BOUG-01","T8",57.2,"outer_slope","steep_slope",5,0.138460936299988,0,0,0,0
"19","Bougainville","BOUG-01","T9",57.4,"outer_slope","steep_slope",5,0,0,0,0,0
"20","Bougainville","BOUG-02","T1",67.1,"outer_slope","steep_slope",3,0.283728264862032,0,0,1.25634317491982,0
"21","Bougainville","BOUG-02","T10",52.1,"outer_slope","steep_slope",3,0.0961200713570489,0.630385598045693,0.116296262444106,0,0
"22","Bougainville","BOUG-02","T11",47.6,"outer_slope","steep_slope",3,0.0441061382090779,0,0,0,0
"23","Bougainville","BOUG-02","T12",47,"outer_slope","steep_slope",3,0,0,0,0,0
"24","Bougainville","BOUG-02","T13",45.8,"outer_slope","steep_slope",3,0.103005899786818,0,0.129483976772563,0,0
"25","Bougainville","BOUG-02","T14",45,"outer_slope","moderate_slope",3,0.394686830602343,0,0,0,0
"26","Bougainville","BOUG-02","T15",44.9,"outer_slope","wall",3,0.125396229611314,0,0,0,0
"27","Bougainville","BOUG-02","T16",37.2,"outer_slope","wall",3,0,0,0,0,0
"28","Bougainville","BOUG-02","T17",35.1,"outer_slope","wall",3,0,0,0,0,0
"29","Bougainville","BOUG-02","T18",33.1,"outer_slope","wall",3,0,0,0,0,0.258901017767417
"30","Bougainville","BOUG-02","T19",32.5,"outer_slope","steep_slope",3,0.437332145654987,0,0.121046405953587,0,6.78923005459136
"31","Bougainville","BOUG-02","T2",67.1,"outer_slope","steep_slope",3,0.257682155757259,0,0,7.36112329161266,0
"32","Bougainville","BOUG-02","T20",31.1,"outer_slope","moderate_slope",3,0.307409417196964,0,0.118707188256175,7.65136459681358,4.64856479368574
"33","Bougainville","BOUG-02","T21",28.4,"outer_slope","wall",3,0.171943365179365,0,0.0837288893526342,5.21830082656954,0
"34","Bougainville","BOUG-02","T22",27.3,"outer_slope","wall",3,0.151830539770437,0,0.1105832832159,0,1.49871144698272
"35","Bougainville","BOUG-02","T23",24.8,"outer_slope","steep_slope",3,0.0890587809743137,0,0.0618581223935215,3.67092726319299,0
"36","Bougainville","BOUG-02","T24",24.2,"outer_slope","wall",3,0.322051425439928,0,0,0,0
"37","Bougainville","BOUG-02","T25",22.3,"outer_slope","steep_slope",3,1.40524648459739,0.357757739582207,0,2.37498217166665,2.57025503812378
"38","Bougainville","BOUG-02","T26",15.4,"outer_slope","moderate_slope",3,0.198788688449255,0,0,1.86063296748491,0
"39","Bougainville","BOUG-02","T27",13.4,"outer_slope","steep_slope",3,0.178808566689898,1.04340266997363,0.25710813844149,0,6.56713263172916
"40","Bougainville","BOUG-02","T28",9.8,"outer_slope","steep_slope",2,0.237196591055657,0,0,0,1.7185039088012
"41","Bougainville","BOUG-02","T3",64.5,"outer_slope","steep_slope",3,0,0,0,1.27169928358529,2.94450735006269
"42","Bougainville","BOUG-02","T4",63.8,"outer_slope","steep_slope",3,0,0,0,0,0
"43","Bougainville","BOUG-02","T5",63,"outer_slope","wall",3,0,0,0.127325555945208,0,0
"44","Bougainville","BOUG-02","T6",58.4,"outer_slope","moderate_slope",4,0.0143126661776469,0,0,0,0
"45","Bougainville","BOUG-02","T7",57.7,"outer_slope","moderate_slope",4,0.0220816061853593,0,0,0,0
"46","Bougainville","BOUG-02","T8",55.3,"outer_slope","moderate_slope",4,0.747357465998704,0.40039326685488,0.329069133265333,5.00181936164426,5.75184735826877
"47","Bougainville","BOUG-02","T9",53.6,"outer_slope","moderate_slope",4,0.1206138303995,0,0,0.349877005385192,0
"48","Chilcott","CHIL-01","T1",36.5,"lagoon","flat",1,0,0,0,0,0
"49","East Holmes","HOLM-02","T1",62.7,"outer_slope","steep_slope",3,0.108923962033466,0,0,0,0
"50","East Holmes","HOLM-02","T10",37,"outer_slope","gentle_slope",2,0.723989083794431,0,0.189990670587138,0,0.357576058461902
"51","East Holmes","HOLM-02","T11",35,"outer_slope","gentle_slope",2,8.78758542476022,0.786793462131698,0.141363826256889,0,0.273813235747524
"52","East Holmes","HOLM-02","T12",31.2,"outer_slope","gentle_slope",2,2.53184878731756,0,0.136412890052909,0,0.637349476474459
"53","East Holmes","HOLM-02","T13",28,"outer_slope","gentle_slope",2,1.12917237471175,0,1.13831833705506,0,0.832081269946049
"54","East Holmes","HOLM-02","T2",63.7,"outer_slope","steep_slope",3,0.408853666982107,0,0,0,0
"55","East Holmes","HOLM-02","T3",64.2,"outer_slope","steep_slope",4,0,0,0,0,0
"56","East Holmes","HOLM-02","T4",63.2,"outer_slope","steep_slope",4,0.0834092725273215,0.894953568128912,0,0,0
"57","East Holmes","HOLM-02","T5",63.1,"outer_slope","steep_slope",3,0,0,0,0,0
"58","East Holmes","HOLM-02","T6",56.6,"outer_slope","steep_slope",3,0.355033098358064,0,0,0,0
"59","East Holmes","HOLM-02","T7",54.5,"outer_slope","steep_slope",4,2.11767515435636,0,0,0,0
"60","East Holmes","HOLM-02","T8",46.6,"outer_slope","wall",4,0,0,0,0,0
