"","Reef_2","Site","Transect","Depth_m","Habitat","Aspect","Benthic_Complexity","Diversity","Observed","Estimator","s.e.","LCL","UCL"
"1","Ashmore","ASHM-01","T1",31,"outer_slope","moderate_slope","4","Species richness",10,13.8095238095238,7.73308791380216,10,28.966097609858
"2","Ashmore","ASHM-01","T2",37,"outer_slope","gentle_slope","3","Species richness",5,5.58333333333333,2.81370736298064,5,11.0980984278105
"3","Ashmore","ASHM-01","T3",38,"outer_slope","gentle_slope","2.5","Species richness",4,5.71428571428571,3.04734001698831,4,11.6869623962305
"4","Ashmore","ASHM-01","T7",49,"outer_slope","flat","1","Species richness",1,1,0,1,1
"5","Ashmore","ASHM-01","T8",43,"outer_slope","moderate_slope","3.5","Species richness",3,3.41666666666667,1.33338041793968,3,6.03004426351941
"6","Ashmore","ASHM-02","T1",65,"outer_slope","gentle_slope","0","Species richness",1,1,0,1,1
"7","Ashmore","ASHM-02","T7",37,"outer_slope","wall","2","Species richness",6,16.7142857142857,6.80458468289274,6,30.0510266225084
"8","Ashmore","ASHM-04","T1",52,"outer_slope","moderate_slope","1","Species richness",2,2,0.287623491264661,2,2.56373168398641
"9","Ashmore","ASHM-04","T2",45,"outer_slope","steep_slope","2","Species richness",8,15.5294117647059,7.9724451840784,8,31.1551171942193
"10","Ashmore","ASHM-04","T3",42,"outer_slope","steep_slope","3","Species richness",6,11.5,4.5433158529843,6,20.4047354422391
"11","Ashmore","ASHM-04","T4",38,"outer_slope","steep_slope","3","Species richness",4,4,0.713449906332238,4,5.39833612118466
"12","Ashmore","ASHM-04","T5",32,"outer_slope","moderate_slope","3","Species richness",5,5.45833333333333,2.0111324390707,5,9.4000804820521
"13","Ashmore","ASHM-04","T6",20,"outer_slope","gentle_slope","4","Species richness",3,3,0.518059279104879,3,4.01537752890235
"14","Ashmore","ASHM-04","T7",17.5,"outer_slope","gentle_slope","4","Species richness",2,2,0.31446603773522,2,2.61634210832205
"15","Betty Cay","BETT-01","T10",8.2,"outer_slope","flat","3","Species richness",3,3.88888888888889,0.86629247440076,3,5.58679093879247
"16","Betty Cay","BETT-01","T11",8.3,"outer_slope","flat","3","Species richness",10,22.202380952381,9.47687622089028,10,40.7767170312699
"17","Betty Cay","BETT-01","T6",40.4,"outer_slope","steep_slope","3","Species richness",2,2,0.368452949177471,2,2.72215451038541
"18","Betty Cay","BETT-01","T7",32.3,"outer_slope","flat","5","Species richness",2,2.33333333333333,1.29444986342994,2,4.8704084454488
"19","Betty Cay","BETT-01","T8",21.1,"outer_slope","flat","4","Species richness",2,2,0.476095228569523,2,2.93312950120763
"20","Betty Cay","BETT-01","T9",12.6,"outer_slope","gentle_slope","3","Species richness",2,2,0.468826172262151,2,2.91888241264359
"21","Boot","BOOT-01","T1",67,"outer_slope","moderate_slope","3","Species richness",2,2,0.422952584681651,2,2.82897183314416
"22","Boot","BOOT-01","T2",57,"outer_slope","steep_slope","3","Species richness",2,2.33333333333333,1.03799859221536,2,4.36777319007872
"23","Bougainville","BOUG-01","T1",65,"outer_slope","steep_slope","5","Species richness",1,1,0,1,1
"24","Bougainville","BOUG-01","T10",20.3,"outer_slope","wall","3.5","Species richness",1,1,0,1,1
"25","Bougainville","BOUG-01","T10",54.7,"outer_slope","steep_slope","5","Species richness",1,1,0,1,1
"26","Bougainville","BOUG-01","T11",17.6,"outer_slope","wall","3","Species richness",2,2,0.31446603773522,2,2.61634210832205
"27","Bougainville","BOUG-01","T12",13.8,"outer_slope","steep_slope","3","Species richness",7,20.3333333333333,7.30220957118623,7,34.645401100422
"28","Bougainville","BOUG-01","T12",45.5,"outer_slope","steep_slope","5","Species richness",2,2.5,0.703239258393226,2,3.87832361896538
"29","Bougainville","BOUG-01","T13",12.5,"outer_slope","wall","3.5","Species richness",3,3.95833333333333,0.752284329866682,3,5.43278352600588
"30","Bougainville","BOUG-01","T14",9.3,"outer_slope","wall","3","Species richness",8,17.6296296296296,6.01113377390504,8,29.4112353327358
"31","Bougainville","BOUG-01","T15",7.5,"outer_slope","wall","2","Species richness",10,11.44,4.21476517193763,10,19.7007879402915
"32","Bougainville","BOUG-01","T16",36.4,"outer_slope","wall","5","Species richness",2,2.33333333333333,1.01517111393715,2,4.32303215479555
"33","Bougainville","BOUG-01","T16",5.5,"outer_slope","wall","3","Species richness",7,20.8461538461538,7.30597861557024,7,35.1656088044913
"34","Bougainville","BOUG-01","T17",3.6,"outer_slope","steep_slope","2.5","Species richness",15,16.4896551724138,3.68293501068011,15,23.7080751507484
"35","Bougainville","BOUG-01","T17",35.1,"outer_slope","wall","5","Species richness",3,3.83333333333333,1.08937064172931,3,5.96846055693807
"36","Bougainville","BOUG-01","T18",28.5,"outer_slope","wall","4","Species richness",1,1,0,1,1
"37","Bougainville","BOUG-01","T19",22.3,"outer_slope","wall","3","Species richness",1,1,0,1,1
"38","Bougainville","BOUG-01","T2",66.7,"outer_slope","wall","5","Species richness",2,2.5,0.708872343937891,2,3.88936426375476
