"","Site","Transect","Depth_m","Habitat","Aspect","Diversity","Observed","Estimator","s.e.","LCL","UCL"
"1","ASHM-01","T1",31,"outer_slope","moderate_slope","Species richness",10,13.8095238095238,4.10250714179559,10,21.8502900537615
"2","ASHM-01","T2",37,"outer_slope","gentle_slope","Species richness",5,5.58333333333333,2.64402341393035,5,10.7655239989175
"3","ASHM-01","T3",38,"outer_slope","gentle_slope","Species richness",4,5.71428571428571,2.24820079693416,4,10.1206783062909
"4","ASHM-01","T7",49,"outer_slope","flat","Species richness",1,1,0,1,1
"5","ASHM-01","T8",43,"outer_slope","moderate_slope","Species richness",3,3.41666666666667,1.23282220503428,3,5.83295378787511
"6","ASHM-02","T1",65,"outer_slope","gentle_slope","Species richness",1,1,0,1,1
"7","ASHM-02","T7",37,"outer_slope","wall","Species richness",6,16.7142857142857,5.99177801944139,6,28.4579548357496
"8","ASHM-04","T1",52,"outer_slope","moderate_slope","Species richness",2,2,0.256432399976243,2,2.50259826842261
"9","ASHM-04","T2",45,"outer_slope","steep_slope","Species richness",8,15.5294117647059,7.30523024666919,8,29.8473999469501
"10","ASHM-04","T3",42,"outer_slope","steep_slope","Species richness",6,11.5,4.07501896418419,6,19.4868904061187
"11","ASHM-04","T4",38,"outer_slope","steep_slope","Species richness",4,4,0.865925992040579,4,5.69718375767665
"12","ASHM-04","T5",32,"outer_slope","moderate_slope","Species richness",5,5.45833333333333,1.73620857575745,5,8.86123961146752
"13","ASHM-04","T6",20,"outer_slope","gentle_slope","Species richness",3,3,0.591282418975822,3,4.15889224588433
"14","ASHM-04","T7",17.5,"outer_slope","gentle_slope","Species richness",2,2,0.337997668989631,2,2.66246325807817
"15","BETT-01","T10",8.2,"outer_slope","flat","Species richness",3,3.88888888888889,0.901783575841822,3,5.6563522193886
"16","BETT-01","T11",8.3,"outer_slope","flat","Species richness",10,22.202380952381,7.7410731388825,10,37.3746055062811
"17","BETT-01","T6",40.4,"outer_slope","steep_slope","Species richness",2,2,0.256432399976243,2,2.50259826842261
"18","BETT-01","T7",32.3,"outer_slope","flat","Species richness",2,2.33333333333333,1.14775924770164,2,4.58290012175132
"19","BETT-01","T8",21.1,"outer_slope","flat","Species richness",2,2,0.409360180740332,2,2.80233121095586
"20","BETT-01","T9",12.6,"outer_slope","gentle_slope","Species richness",2,2,0.479372485441102,2,2.93955280664401
"21","BOOT-01","T1",67,"outer_slope","moderate_slope","Species richness",2,2,0.456048021572069,2,2.893837697502
"22","BOOT-01","T2",57,"outer_slope","steep_slope","Species richness",2,2.33333333333333,1.3105117616569,2,4.901889187497
"23","BOUG-01","T1",65,"outer_slope","steep_slope","Species richness",1,1,0,1,1
